[2025-08-09 15:06:11] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-08-09 15:19:52] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-08-09 16:40:11] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-08-09 16:46:34] [INFO] Occupancy fetched: room=fg#13, count=0
[2025-08-09 16:46:52] [INFO] Occupancy fetched: room=fg#13, count=0
[2025-08-09 17:20:30] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-09 17:29:44] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-08-09 17:30:23] [INFO] Occupancy fetched: room=fg#04, count=1
[2025-08-09 18:05:23] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-08-10 08:44:08] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-10 09:22:31] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-10 15:08:23] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-08-10 15:21:28] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-08-10 15:27:18] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-08-10 15:34:35] [INFO] Occupancy fetched: room=fg#08, count=0
[2025-08-10 15:35:53] [INFO] Occupancy fetched: room=fg#08, count=1
[2025-08-10 16:13:54] [INFO] Occupancy fetched: room=fg#06, count=1
[2025-08-10 16:17:25] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-08-10 17:58:06] [INFO] Occupancy fetched: room=fg#13, count=0
[2025-08-11 15:06:07] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-08-11 15:11:37] [INFO] Occupancy fetched: room=fg#13, count=0
[2025-08-11 15:16:29] [INFO] Occupancy fetched: room=fg#03, count=1
[2025-08-11 15:17:29] [INFO] Occupancy fetched: room=fg#13, count=1
[2025-08-11 15:26:00] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-11 17:02:25] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-08-11 17:47:42] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-08-11 18:35:53] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-08-12 14:58:41] [INFO] Occupancy fetched: room=fg#05, count=0
